"","path","filename","name","weight","category","source","notes"
"16","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cladina_Wallacesselaginella.tif","Cladina_Wallacesselaginella.tif","Cladina - Wallace's selaginella",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"17","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Labradortea_Bog_laurel_Peat_moss.tif","Labradortea_Bog_laurel_Peat_moss.tif","Labrador tea - Bog-laurel - Peat-moss",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"18","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Pl_Sphagnum.tif","Pl_Sphagnum.tif","Pl - Sphagnum",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"19","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Sweetgale_Sitkasedge.tif","Sweetgale_Sitkasedge.tif","Sweet gale - Sitka sedge",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"20","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hardhack(pinkspirea)_Sitkasedge.tif","Hardhack(pinkspirea)_Sitkasedge.tif","Hardhack (pink spirea) - Sitka sedge",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"21","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Fd_Swordfern.tif","Fd_Swordfern.tif","Fd - Sword fern",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"22","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage(Ws53_Cw_Swordfern_Skunkcabbage).tif","CwSs_Skunkcabbage(Ws53_Cw_Swordfern_Skunkcabbage).tif","CwSs - Skunk cabbage (Ws53-Cw-Sword fern-Skunk cabbage)",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"23","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwCw_Deerfern.tif","HwCw_Deerfern.tif","HwCw - Deer fern",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"24","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdPl_Cladina.tif","FdPl_Cladina.tif","FdPl - Cladina",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"25","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwBa_Blueberry.tif","HwBa_Blueberry.tif","HwBa - Blueberry",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"26","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Swordfern.tif","Cw_Swordfern.tif","Cw - Sword fern",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"27","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage.tif","CwSs_Skunkcabbage.tif","CwSs - Skunk cabbage",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"28","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/RockOutcrop.tif","RockOutcrop.tif","Rock Outcrop",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"29","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdHw_Salal.tif","FdHw_Salal.tif","FdHw - Salal",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"30","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Foamflower.tif","Cw_Foamflower.tif","Cw - Foamflower",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"31","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwFd_Kindbergia.tif","HwFd_Kindbergia.tif","HwFd - Kindbergia",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"32","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hw_Flatmoss.tif","Hw_Flatmoss.tif","Hw - Flat moss",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"33","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/riparian.tif","riparian.tif","Riparian",1,"Freshwater","MVSEI",""
"34","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/streams.tif","streams.tif","Streams",1,"Freshwater","Alan Whitehead","Raster value 3 for fish-bearing streams, 2 for non-fish bearing, 1 for drainage channel and NA"
"35","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/lakes.tif","lakes.tif","Lakes",1,"Freshwater","MVSEI",""
"36","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/ponds.tif","ponds.tif","Ponds",1,"Freshwater","Alan Whitehead","replaces MVSEI"
"37","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/wetlands.tif","wetlands.tif","Wetlands",1,"Freshwater","Alan Whitehead","replaces MVSEI"
