latitude,longitude,private_latitude,private_longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
49.4016498706,-123.38016361,,,Giant Pink Sea Star,Pisaster brevispinus,Giant Pink Sea Star,Animalia,49539
49.4031544287,-123.3786535263,,,giant California sea cucumber,Apostichopus californicus,giant California sea cucumber,Animalia,202640
49.4035453968,-123.3783102036,,,Yellow-edged Cadlina,Cadlina luteomarginata,Yellow-edged Cadlina,Mollusca,50146
49.3860941047,-123.3419873938,,,European holly,Ilex aquifolium,European holly,Plantae,53856
49.3792916667,-123.3403866667,,,,Callicarpa,Beautyberry,Plantae,49195
49.3780792505,-123.3464179841,,,Euphorbia subg. Esula,Esula,,Plantae,785083
49.37448595,-123.41879243,,,red-berried elder,Sambucus racemosa,red-berried elder,Plantae,57824
49.3802764826,-123.3449726925,,,,Angiospermae,flowering plants,Plantae,47125
49.3653488579,-123.4298757558,,,Life,Life,life,,48460
49.3652479817,-123.4303810169,,,,Plantae,plants,Plantae,47126
49.3784732858,-123.3335873857,,,Common Merganser,Mergus merganser,Common Merganser,Aves,7004
49.3917566851,-123.3573678405,,,Pacific Banana Slug,Ariolimax columbianus,Pacific Banana Slug,Mollusca,47776
49.386929274,-123.3864198285,,,Pacific coralroot,Corallorhiza mertensiana,Pacific coralroot,Plantae,49444
49.3647554663,-123.4014268849,,,Pale Beauty Moth,Campaea perlata,Pale Beauty,Insecta,81681
49.3584363461,-123.4067643448,,,Lamier orvale,Lamium orvala,Balm-leaved Archangel,Plantae,348832
49.3584413191,-123.406758384,,,,Urtica chamaedryoides,heartleaf nettle,Plantae,170079
49.3852490047,-123.3728650679,,,Pacific coralroot,Corallorhiza mertensiana,Pacific coralroot,Plantae,49444
49.3827220286,-123.3886437492,,,Pacific coralroot,Corallorhiza mertensiana,Pacific coralroot,Plantae,49444
49.3417824298,-123.4300934305,,,Menzies' baby blue eyes,Nemophila menziesii,Menzies' baby blue eyes,Plantae,50648
49.3400293452,-123.4320434637,,,common woolly sunflower,Eriophyllum lanatum,common woolly sunflower,Plantae,77049
49.3433464315,-123.4280419521,,,Cornflower,Centaurea cyanus,Cornflower,Plantae,933404
49.3434976476,-123.4281188197,,,Papavereae,Papavereae,,Plantae,1453811
49.3416316324,-123.4314355859,,,Oregon Gumplant,Grindelia stricta,Oregon Gumplant,Plantae,61992
49.3417807758,-123.4312786826,,,Western Sea Roach,Ligia occidentalis,Western Sea Slater,Animalia,117674
49.342040235,-123.4312061376,,,Alaskan bellflower,Campanula alaskana,Alaskan bellflower,Plantae,967218
49.34057579,-123.4316103353,,,white brodiaea,Triteleia hyacinthina,white brodiaea,Plantae,57132
49.3401828093,-123.4320053372,,,nodding onion,Allium cernuum,nodding onion,Plantae,116364
49.3584507611,-123.4062833806,,,snowbells,Styrax,snowbells,Plantae,61875
49.3584959815,-123.4067196586,,,Achillia,,,,
49.3585887272,-123.4063931835,,,,Rosa multiflora,multiflora rose,Plantae,78882
49.3585394836,-123.4065412079,,,,Angiospermae,flowering plants,Plantae,47125
49.3798711757,-123.3421938402,,,Red Huckleberry,Vaccinium parvifolium,Red Huckleberry,Plantae,48354
49.3821097306,-123.3389918694,,,Giant Horsetail,Equisetum telmateia braunii,Braun's Giant Horsetail,Plantae,57032
49.3412371985,-123.430603952,,,alders,Alnus,alders,Plantae,53352
49.3789787292,-123.3344955444,,,Brown-headed Cowbird,Molothrus ater,Brown-headed Cowbird,Aves,10373
49.3633436407,-123.401361708,,,Red Alder,Alnus rubra,Red Alder,Plantae,56034
49.3632983678,-123.4014281532,,,common bracken,Pteridium aquilinum,common bracken,Plantae,52681
49.3606449,-123.3878524,,,Red Huckleberry,Vaccinium parvifolium,Red Huckleberry,Plantae,48354
49.3606449,-123.3878524,,,Cascade Oregon-grape,Berberis nervosa,Cascade Oregon-grape,Plantae,75756
49.3723087413,-123.3974192953,,,lodgepole pine,Pinus contorta,lodgepole pine,Plantae,48934
49.3606449,-123.3878524,,,grasses,Poaceae,grasses,Plantae,47434
49.3788871765,-123.3883361816,,,salal,Gaultheria shallon,salal,Plantae,48441
49.3788871765,-123.388053894,,,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,Aves,10094
49.3701282845,-123.3965977303,,,Coralroots,Corallorhiza,Coralroots,Plantae,49445
49.3779137079,-123.3439652716,,,,,,,
49.397004221,-123.36112119,,,Northwestern Alligator Lizard,Elgaria coerulea principis,Northwestern Alligator Lizard,Reptilia,32065
49.376625831,-123.3284020782,,,Columbian Black-tailed Deer,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,Mammalia,42221
49.3971798914,-123.3610513555,,,Anise Swallowtail,Papilio zelicaon,Anise Swallowtail,Insecta,51097
49.3971798914,-123.3610513555,,,Lorquin's Admiral,Limenitis lorquini,Lorquin's Admiral,Insecta,50880
49.3971798914,-123.3610513555,,,Woodland Skipper,Ochlodes sylvanoides,Woodland Skipper,Insecta,59194
49.3971798914,-123.3610513555,,,Woodland Skipper,Ochlodes sylvanoides,Woodland Skipper,Insecta,59194
49.3968586813,-123.3609440649,,,Western Conifer Seed Bug,Leptoglossus occidentalis,Western Conifer Seed Bug,Insecta,67771
49.340664428,-123.4309967833,,,salal,Gaultheria shallon,salal,Plantae,48441
49.3916473389,-123.3562774658,,,western yellow pond-lily,Nuphar polysepala,western yellow pond-lily,Plantae,78234
49.395138,-123.361008,,,Hemlock Looper Moth,Lambdina fiscellaria,Hemlock Looper Moth,Insecta,154446
49.388235854,-123.3553760593,,,great horsetail,Equisetum telmateia,great horsetail,Plantae,57030
49.3882427691,-123.3555363213,,,European holly,Ilex aquifolium,European holly,Plantae,53856
49.3883698388,-123.3557014448,,,western sword fern,Polystichum munitum,western sword fern,Plantae,47751
49.3882123428,-123.3552327288,,,western skunk cabbage,Lysichiton americanus,western skunk cabbage,Plantae,48537
49.3882334652,-123.355142288,,,Cutleaf Blackberry,Rubus laciniatus,Cutleaf Blackberry,Plantae,78891
49.4014868467,-123.3806158138,,,western redcedar,Thuja plicata,western redcedar,Plantae,48252
49.3972541113,-123.3601685801,,,common bracken,Pteridium aquilinum,common bracken,Plantae,52681
49.3971271674,-123.3604509664,,,salal,Gaultheria shallon,salal,Plantae,48441
49.3916435242,-123.3562774658,,,Wolf Spiders,Lycosidae,Wolf Spiders,Arachnida,47416
49.3916511536,-123.3562698364,,,Bluets,Enallagma,Bluets,Insecta,50175
49.3967524544,-123.3607548942,,,hedge bindweed,Calystegia sepium,hedge bindweed,Plantae,57481
49.3967051805,-123.3608728276,,,Ocean spray,Holodiscus discolor,Ocean spray,Plantae,53414
49.3966897997,-123.3605217935,,,Red Huckleberry,Vaccinium parvifolium,Red Huckleberry,Plantae,48354
49.3805712741,-123.3359223326,,,Cascade Oregon-grape,Berberis nervosa,Cascade Oregon-grape,Plantae,75756
49.3873786926,-123.3225326538,,,hemp,Cannabis sativa,Cannabis,Plantae,75997
49.3928794861,-123.3586273193,,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,25545
49.3971614494,-123.3605851607,,,Red Huckleberry,Vaccinium parvifolium,Red Huckleberry,Plantae,48354
49.3971433864,-123.3603142576,,,western hemlock,Tsuga heterophylla,western hemlock,Plantae,48254
49.4010505676,-123.3805160522,,,see bug,Cirripedia,Barnacles,Animalia,210289
49.3885574341,-123.3244247437,,,Columbian Black-tailed Deer,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,Mammalia,42221
49.4183540344,-123.3079833984,,,Pacific Harbor Seal,Phoca vitulina richardii,Pacific Harbour Seal,Mammalia,117766
49.3991431167,-123.3548660204,,,bulrush,Typha latifolia,broadleaf cattail,Plantae,48685
49.3943138123,-123.3596420288,,,Hard Fern,Struthiopteris spicant,deer fern,Plantae,774894
49.3960876465,-123.3590087891,,,Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
49.3973864821,-123.3606922676,,,Northern Pacific Tree Frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259
49.3805039255,-123.334153751,,,common ivy,Hedera helix,common ivy,Plantae,55882
49.4012839627,-123.3796951455,,,bigleaf maple,Acer macrophyllum,bigleaf maple,Plantae,48227
49.4014715916,-123.3795085644,,,purple foxglove,Digitalis purpurea,purple foxglove,Plantae,53983
49.3883889495,-123.3546712251,,,Hard Fern,Struthiopteris spicant,deer fern,Plantae,774894
49.3881288171,-123.3553208226,,,rose spiraea,Spiraea douglasii,Rose Spirea,Plantae,62493
49.3825993594,-123.3509058227,,,common bracken,Pteridium aquilinum,common bracken,Plantae,52681
49.3843497523,-123.3467951698,,,ater-group Arion Slugs,Arion,ater-group Arion Slugs,Mollusca,549548
49.3852449814,-123.3463107796,,,broad-leaved sweet pea,Lathyrus latifolius,broad-leaved sweet pea,Plantae,61009
49.3835007493,-123.3478059435,,,European holly,Ilex aquifolium,European holly,Plantae,53856
49.4013421708,-123.3803087865,,,Bald-faced Yellowjacket,Dolichovespula maculata,Bald-faced Hornet,Insecta,52911
49.3865436502,-123.357450919,,,Columbian Black-tailed Deer,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,Mammalia,42221
49.3968661968,-123.3607724962,,,Giant House Spider,Eratigena duellica,Giant House Spider,Arachnida,750907
49.3970109104,-123.3605640383,,,petty spurge,Euphorbia peplus,Petty Spurge,Plantae,57036
49.3800883333,-123.342605,,,Purple Toadflax,Linaria purpurea,Purple Toadflax,Plantae,77778
49.3954871592,-123.3590281382,,,lady fern,Athyrium filix-femina,lady fern,Plantae,52669
49.3982048784,-123.3603819832,,,Purple Toadflax,Linaria purpurea,Purple Toadflax,Plantae,77778
49.3980674744,-123.3601608276,,,herb Robert,Geranium robertianum,Herb Robert,Plantae,55925
49.3977203369,-123.3604507446,,,burdocks,Arctium,burdocks,Plantae,59571
49.3792495067,-123.3356466506,,,,Petunia,petunias,Plantae,55406
49.3912887573,-123.3561935425,,,grass-leaved goldenrods,Euthamia,grass-leaved goldenrods,Plantae,58827
49.3935508728,-123.3611679077,,,western maidenhair fern,Adiantum aleuticum,western maidenhair fern,Plantae,52667
49.3912849426,-123.356300354,,,Cross Orbweaver,Araneus diadematus,Cross Orbweaver,Arachnida,52628
49.3913612366,-123.3560943604,,,Зюзник одноцветковый,Lycopus uniflorus,northern bugleweed,Plantae,77915
49.3400434731,-123.4331405909,,,Ochre Sea Star,Pisaster ochraceus,Ochre Sea Star,Animalia,49699
49.3403156335,-123.4319329263,,,Pacific madrone,Arbutus menziesii,Arbutus,Plantae,51046
49.342333912,-123.4313362186,,,common Douglas-fir,Pseudotsuga menziesii,Douglas-fir,Plantae,48256
49.3429300748,-123.4298460839,,,Rockweed,Fucus distichus,Rockweed,Chromista,69155
49.3428468006,-123.4298882448,,,Acorn Barnacle,Balanus glandula,Pacific Acorn Barnacle,Animalia,81610
49.3427380873,-123.4294878413,,,Wall Lettuce,Mycelis muralis,Wall Lettuce,Plantae,48543
49.342443212,-123.4300045018,,,Soft Rush,Juncus effusus,Soft Rush,Plantae,56153
49.341018959,-123.4310555087,,,bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
49.3385895063,-123.4298778513,,,,Cladonia portentosa,Reindeer Lichen,Fungi,119666
49.33901296,-123.4300822021,,,,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
49.3404780329,-123.4295741749,,,Red Alder,Alnus rubra,Red Alder,Plantae,56034
49.3441244711,-123.4291702416,,,Western Yellowjacket,Vespula pensylvanica,Western Yellowjacket,Insecta,61355
49.3441244711,-123.4291702416,,,Asian Lady Beetle,Harmonia axyridis,Asian Lady Beetle,Insecta,48484
49.3441244711,-123.4291702416,,,common dandelion,Taraxacum officinale,common dandelion,Plantae,47602
49.3441244711,-123.4291702416,,,Western Sea Roach,Ligia occidentalis,Western Sea Slater,Animalia,117674
49.3441244711,-123.4291702416,,,Yellow Shore Crab,Hemigrapsus oregonensis,Yellow Shore Crab,Animalia,69170
49.3441244711,-123.4291702416,,,Тахины,Tachinidae,Tachinid Flies,Insecta,51953
49.3440965103,-123.4289556858,,,Melanoplus,Melanoplus,North American Spur-throated Grasshoppers,Insecta,63523
49.345097582,-123.3938093483,,,deer fern,Struthiopteris spicant,deer fern,Plantae,774894
49.3543548584,-123.3893966675,,,Labrador tea,Rhododendron groenlandicum,Bog Labrador Tea,Plantae,180413
49.3538169861,-123.390625,,,trailing blackberry,Rubus ursinus,trailing blackberry,Plantae,53445
49.3798781327,-123.3317590413,,,Running Crab Spiders,Philodromus,Running Crab Spiders,Arachnida,56611
49.3810855877,-123.3380199877,,,burdocks,Arctium,burdocks,Plantae,59571
49.3970606435,-123.3603768636,,,Typical Crane Flies,Tipuloidea,Typical Crane Flies,Insecta,51226
49.397068538,-123.3603339199,,,Nepytia phantasmaria,Nepytia phantasmaria,Phantom Hemlock Looper,Insecta,334645
49.39584829,-123.3596778298,,,Western Paper Wasp,Mischocyttarus flavitarsis,Western Paper Wasp,Insecta,68863
49.3975669658,-123.3602883575,,,brambles,Rubus vestitus,European Blackberry,Plantae,55917
49.3977791537,-123.3604383097,,,herb Robert,Geranium robertianum,Herb Robert,Plantae,55925
49.3982033199,-123.3602986672,,,Purple Toadflax,Linaria purpurea,Purple Toadflax,Plantae,77778
49.3960580556,-123.3597760556,,,fragrant bedstraw,Galium triflorum,fragrant bedstraw,Plantae,53065
49.3959291419,-123.360065315,,,pearly everlasting,Anaphalis margaritacea,pearly everlasting,Plantae,52833
49.3941163877,-123.3593649232,,,western maidenhair fern,Adiantum aleuticum,western maidenhair fern,Plantae,52667
49.3934387947,-123.3593023104,,,Northern Pacific Tree Frog,Pseudacris regilla,Pacific chorus frog,Amphibia,24259
49.3932905188,-123.3590722271,,,Three-way Sedge,Dulichium arundinaceum,Three-way Sedge,Plantae,76745
49.3917606539,-123.3565968835,,,western yellow pond-lily,Nuphar polysepala,western yellow pond-lily,Plantae,78234
49.3917585165,-123.3565916029,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
49.3918023538,-123.3564746754,,,Watershield,Brasenia schreberi,Watershield,Plantae,75867
49.3953129845,-123.3583142993,,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,25545
49.3952573402,-123.3582713839,,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,25545
49.3796310425,-123.332321167,,,snowberries,Symphoricarpos,snowberries,Plantae,48528
49.4017223069,-123.360670656,,,Termites,Zootermopsis nevadensis,Nevada Dampwood Termite,Insecta,296482
49.3796419306,-123.3321283479,,,Common Snowberry,Symphoricarpos albus,Common Snowberry,Plantae,48523
49.3805825897,-123.3341207263,,,rowan,Sorbus aucuparia,European mountain ash,Plantae,56063
49.3808851345,-123.3338338138,,,nipplewort,Lapsana communis,nipplewort,Plantae,55981
49.3815597939,-123.3346019314,,,Weeping Willow,Salix × pendulina tristis,Golden Weeping Willow,Plantae,1377466
49.3826099625,-123.334521046,,,Himalayan Blackberry,Rubus bifrons,European Blackberry,Plantae,168025
49.3837641506,-123.3351196815,,,,Poaceae,grasses,Plantae,47434
49.3846105971,-123.334024083,,,,Buxus,boxes,Plantae,133400
49.3844113173,-123.3338311316,,,,Pinus ponderosa,Western Ponderosa Pine,Plantae,48461
49.3833986996,-123.3361549304,,,Rose-of-sharon,Hypericum calycinum,Rose-of-sharon,Plantae,77481
49.3837197265,-123.3368619439,,,pedunculate oak,Quercus robur,English oak,Plantae,56133
49.3852790539,-123.3398117871,,,Variegated Yellow Archangel,Lamium galeobdolon argentatum,Variegated Yellow Archangel,Plantae,707386
49.385061753,-123.3398540319,,,Oregano,Origanum vulgare,Oregano,Plantae,61396
49.383162749,-123.3394338471,,,red campion,Silene dioica,red campion,Plantae,55759
49.3969216012,-123.3607227915,,,Common Rough Woodlouse,Porcellio scaber,Common Rough Woodlouse,Animalia,122238
49.3971050391,-123.3603587655,,,Roundback Slugs and Allies,Arionoidea,Roundback Slugs and Allies,Mollusca,487049
49.3968455792,-123.3603078873,,,ragwort,Jacobaea vulgaris,ragwort,Plantae,62498
49.3981345464,-123.3591150587,,,Black Slug,Arion ater,Black Slug,Mollusca,82003
49.3978641462,-123.3586273157,,,Pacific Banana Slug,Ariolimax columbianus,Pacific Banana Slug,Mollusca,47776
49.3968708907,-123.3587858175,,,Pacific Sideband,Monadenia fidelis,Pacific Sideband,Mollusca,62803
49.3962471514,-123.3590029088,,,Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
49.3982359674,-123.3561574203,,,,Fungi,Fungi Including Lichens,Fungi,47170
49.3989954517,-123.3551520949,,,Sitka spruce,Picea sitchensis,Sitka spruce,Plantae,68131
49.3991035363,-123.3541285807,,,artist's bracket,Ganoderma applanatum,artist's bracket,Fungi,48473
49.3986093812,-123.3531476465,,,artist's bracket,Ganoderma applanatum,artist's bracket,Fungi,48473
49.398456621,-123.35319886,,,pixie cup lichens,Cladonia,pixie cup and reindeer lichens,Fungi,49490
49.3981355522,-123.3534166218,,,lady fern,Athyrium filix-femina,lady fern,Plantae,52669
49.3971603597,-123.3515626286,,,Lanky Moss,Rhytidiadelphus loreus,Lanky Moss,Plantae,124422
49.3957386632,-123.3513815795,,,youth on age,Tolmiea menziesii,Youth-on-Age,Plantae,128848
49.3947266322,-123.3495024407,,,Candy Flower,Claytonia sibirica,Candy Flower,Plantae,55767
49.3933031336,-123.3503319138,,,Agaricomycetes,Agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",Fungi,50814
49.3882517377,-123.355133487,,,Old man's beard,Clematis vitalba,Old man's beard,Plantae,160697
49.3924163282,-123.3584766929,,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,25545
49.3972204999,-123.3604262398,,,Earthworms,Lumbricidae,Lumbricid Earthworms,Animalia,69758
49.4014145603,-123.3602660988,,,Ocean spray,Holodiscus discolor,Ocean spray,Plantae,53414
49.3880940322,-123.355123764,,,rose spiraea,Spiraea douglasii,Rose Spirea,Plantae,62493
49.3882716867,-123.3552778234,,,western skunk cabbage,Lysichiton americanus,western skunk cabbage,Plantae,48537
49.3825142831,-123.3486904857,,,ground-ivy,Glechoma hederacea,ground-ivy,Plantae,55830
49.3827551371,-123.3485093528,,,Dryomyza,Dryomyza,,Insecta,424236
49.382340652,-123.3484873922,,,trailing blackberry,Rubus ursinus,trailing blackberry,Plantae,53445
49.3827444502,-123.3474642133,,,deer fern,Struthiopteris spicant,deer fern,Plantae,774894
49.3826237508,-123.3471360618,,,Panicled Bulrush,Scirpus microcarpus,Panicled Bulrush,Plantae,59068
49.3827190111,-123.3469808289,,,Basidiomycota,Basidiomycota,Basidiomycete Fungi,Fungi,47169
49.3829012337,-123.3469631431,,,Cross Orbweaver,Araneus diadematus,Cross Orbweaver,Arachnida,52628
49.3827626389,-123.3470435255,,,western columbine,Aquilegia formosa,western columbine,Plantae,48244
49.382667169,-123.3470312041,,,,Juncus effusus,Soft Rush,Plantae,56153
49.3829224399,-123.3482446523,,,large-leaved avens,Geum macrophyllum,Large-leaved Avens,Plantae,77266
49.3833011762,-123.3474430909,,,common daisy,Bellis perennis,Lawn daisy,Plantae,55563
49.3830348412,-123.3472805658,,,Isabella Tiger Moth,Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675
49.383153529,-123.3473891952,,,,Ranunculus,buttercups,Plantae,48230
49.3879606233,-123.3549430277,,,Pacific Dampwood Termite,Zootermopsis angusticollis,Pacific Dampwood Termite,Insecta,121383
49.3830211236,-123.3469470752,,,Stereum,Stereum,,Fungi,55503
49.3912506648,-123.3562010899,,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,25545
49.3913383484,-123.3562545776,,,Platycheirus,Platycheirus,Sedgesitters,Insecta,121357
49.3955078125,-123.3605117798,,,Eurasian Armoured Long-jawed Spider,Metellina segmentata,Eurasian Armoured Long-jawed Spider,Arachnida,55621
49.3913536072,-123.3562545776,,,creeping thistle,Cirsium arvense,Canada thistle,Plantae,60132
49.3914108276,-123.3562850952,,,bog myrtle,Myrica gale,sweet gale,Plantae,82203
49.3912315369,-123.3562393188,,,common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
49.3791426206,-123.3359868732,,,Common Sunflower,Helianthus annuus,Common Sunflower,Plantae,57983
49.3793282379,-123.3368749359,,,red clover,Trifolium pratense,Red Clover,Plantae,51875
49.3928301847,-123.3616049868,,,Asiatic Knotweed,Reynoutria japonica,Japanese knotweed,Plantae,914922
49.3774957443,-123.327520732,,,Spurge-laurel,Daphne laureola,Spurge-laurel,Plantae,127391
49.3776521087,-123.3272194025,,,juniper polytrichum moss,Polytrichum juniperinum,juniper haircap moss,Plantae,68286
49.377739532,-123.3260530607,,,common broom,Cytisus scoparius,Scotch Broom,Plantae,48538
49.3776301481,-123.3260408231,,,common yarrow,Achillea millefolium,common yarrow,Plantae,52821
49.3777276716,-123.3256361448,,,maidenhair spleenwort,Asplenium trichomanes,maidenhair spleenwort,Plantae,75609
49.3779073796,-123.3257538268,,,,Cladonia portentosa,Reindeer Lichen,Fungi,119666
49.3771183491,-123.3258238995,,,common woolly sunflower,Eriophyllum lanatum,common woolly sunflower,Plantae,77049
49.3769872142,-123.3282978182,,,herb Robert,Geranium robertianum,Herb Robert,Plantae,55925
49.3750453787,-123.3299077303,,,beech family,Castanea,Chestnuts,Plantae,49187
49.3738682662,-123.3303514683,,,Vlakke dwergmispel,Cotoneaster horizontalis,Wall cotoneaster,Plantae,53771
49.3735588063,-123.3304843215,,,white stonecrop,Sedum album,white stonecrop,Plantae,79025
49.3731062673,-123.3305695654,,,Rock Stonecrop,Petrosedum forsterianum,Rock Stonecrop,Plantae,710296
49.373113392,-123.3305947949,,,Marsh Crane Fly,Tipula oleracea,Marsh Crane Fly,Insecta,418147
49.3719947851,-123.3311868088,,,Oregano,Origanum vulgare,Oregano,Plantae,61396
49.3701570528,-123.3321870213,,,Butterfly bush,Buddleja davidii,Butterfly bush,Plantae,75916
49.3699444458,-123.3326892649,,,giant vetch,Vicia gigantea,giant vetch,Plantae,53322
49.3702677777,-123.3322808148,,,broad-leaved dock,Rumex obtusifolius,broad-leaved dock,Plantae,63371
49.3709098734,-123.3318687604,,,common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
49.3714151765,-123.331829114,,,marsh cudweed,Gnaphalium uliginosum,marsh cudweed,Plantae,136366
49.3758018036,-123.3298984264,,,pearly everlasting,Anaphalis margaritacea,pearly everlasting,Plantae,52833
49.403354209,-123.3638266941,,,fragrant bedstraw,Galium triflorum,fragrant bedstraw,Plantae,53065
49.4067149749,-123.3631729895,,,artist's bracket,Ganoderma applanatum,artist's bracket,Fungi,48473
49.4078667742,-123.3630988934,,,Oregon stonecrop,Sedum oreganum,Oregon Stonecrop,Plantae,79030
49.4107924356,-123.3622284328,,,бракониды,Braconidae,Braconid Wasps,Insecta,63187
49.410812133,-123.3623419238,,,Nuttall's Cockle,Clinocardium nuttallii,Nuttall's Cockle,Mollusca,69925
49.4108878635,-123.3622560931,,,Lottia Limpets,Lottia,Lottia Limpets,Mollusca,48752
49.4109291025,-123.362232959,,,Mask Limpet,Lottia persona,Mask Limpet,Mollusca,339143
49.4109453634,-123.3622527403,,,,Lottia pelta,Shield Limpet,Mollusca,63243
49.4109967025,-123.3622520698,,,Littorina,Littorina,,Mollusca,48919
49.4085175032,-123.3628822212,,,pixie cup lichens,Cladonia,pixie cup and reindeer lichens,Fungi,49490
49.407773274,-123.3631268052,,,Wallace's spikemoss,Selaginella wallacei,Wallace's spikemoss,Plantae,63875
49.4068688248,-123.3629316745,,,western maidenhair fern,Adiantum aleuticum,western maidenhair fern,Plantae,52667
49.3988574616,-123.3603665606,,,Hemlock Looper Moth,Lambdina fiscellaria,Hemlock Looper Moth,Insecta,154446
49.3519489607,-123.3908470162,,,swamp currant,Ribes lacustre,swamp currant,Plantae,78858
49.3527641008,-123.3899927327,,,Wall Lettuce,Mycelis muralis,Wall Lettuce,Plantae,48543
49.3528163201,-123.3900753782,,,Red Huckleberry,Vaccinium parvifolium,Red Huckleberry,Plantae,48354
49.3528197986,-123.3900307865,,,,Polytrichum juniperinum,juniper haircap moss,Plantae,68286
49.3536980125,-123.389081536,,,Ocean spray,Holodiscus discolor,Ocean spray,Plantae,53414
49.3541157665,-123.3893271257,,,bulrush,Typha latifolia,broadleaf cattail,Plantae,48685
49.3542062073,-123.3892865573,,,Labrador tea,Rhododendron groenlandicum,Bog Labrador Tea,Plantae,180413
