[2025-06-30 18:30:26.646] [info] This file will contain all warnings and errors of the analysis
[2025-06-30 18:30:26.752] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.cooperii_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.759] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anser.albifrons_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.759] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anthus.rubescens_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.760] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ardea.herodias_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.760] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Arenaria.melanocephala_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.760] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.affinis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.761] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.americana_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.761] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.collaris_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.761] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.marila_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.762] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bombycilla.cedrorum_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.762] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Brachyramphus.marmoratus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.763] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Branta.bernicla_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.763] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Branta.canadensis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.763] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Branta.hutchinsii_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.764] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bubo.virginianus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.764] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bucephala.albeola_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.764] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bucephala.clangula_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.765] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bucephala.islandica_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.765] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Buteo.jamaicensis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.766] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.alpina_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.766] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.mauri_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.766] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.melanotos_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.767] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.minutilla_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.767] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calypte.anna_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.767] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cardellina.pusilla_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.768] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carduelis.flammea_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.768] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carduelis.pinus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.769] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carduelis.tristis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.769] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carpodacus.mexicanus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.770] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carpodacus.purpureus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.770] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cathartes.aura_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.770] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Catharus.guttatus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.771] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Catharus.ustulatus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.771] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cepphus.columba_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.772] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cerorhinca.monocerata_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.772] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Certhia.americana_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.772] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chaetura.vauxi_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.773] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Charadrius.vociferus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.773] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chen.caerulescens_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.774] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chordeiles.minor_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.774] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chroicocephalus.philadelphia_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.774] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Circus.cyaneus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.775] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cistothorus.palustris_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.775] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Clangula.hyemalis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.776] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Coccothraustes.vespertinus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.776] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Colaptes.auratus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.776] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Contopus.cooperi_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.777] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Contopus.sordidulus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.777] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Corvus.brachyrhynchos_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.778] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Corvus.caurinus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.778] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Corvus.corax_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.778] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cyanocitta.stelleri_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.779] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cygnus.buccinator_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.779] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cygnus.columbianus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.779] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cypseloides.niger_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.780] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dendragapus.fuliginosus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.780] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dendroica.petechia_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.781] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dendroica.townsendi_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.781] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dryocopus.pileatus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.781] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dumetella.carolinensis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.782] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Empidonax.difficilis_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.782] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Empidonax.hammondii_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.782] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Empidonax.traillii_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.783] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Euphagus.cyanocephalus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.783] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Falco.columbarius_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.784] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Falco.peregrinus_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.784] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Falco.sparverius_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.784] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Fulica.americana_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.785] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Gallinago.delicata_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
[2025-06-30 18:30:26.785] [error] All layers should have same size. Layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Gavia.immer_NAs_pu_mask.tif is 96*108, layer /home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif is 87*98
